id,name,category,displayName,cim_action
158,ADMIN_PORTAL_SIGN_IN,Admin,Admin Portal Sign In,
159,ADMIN_PORTAL_SIGN_OUT,Admin,Admin Portal Sign Out,
160,USER_LOCKED_OUT,Admin,User Locked Out,
161,ADD_USER,User,Add User,created
162,MODIFY_USER,User,Modify User,modified
163,MODIFY_USER_ROLE,User,Modify User Role,modified
164,SEND_INVITATION,User,Send Invitation
165,LINK_TO_LDAP_USER,User,Link to LDAP User,
166,REQUIRE_PASSWORD_CHANGE,User,Require Password Change,
167,DELETE_USER_ACCOUNT,User,Delete User,deleted
168,RESYNC_WITH_LDAP,User,Re-sync with LDAP,
170,RENEW_GOOGLE_APPS_PASSWORD,User,Renew Google Apps password,
171,USER_PORTAL_SIGN_IN,User,User Portal Sign In,
172,USER_PORTAL_SIGN_OUT,User,User Portal Sign Out,
173,ADD_LDAP,LDAP,Add LDAP,
174,UPLOAD_LDAP_CERT,LDAP,Upload LDAP Certificate,
175,DELETE_LDAP,LDAP,Delete LDAP,
176,MODIFY_LDAP,LDAP,Modify LDAP,
177,MODIFY_LDAP_PREFERENCES,LDAP,Modify LDAP Preferences,
182,SYSTEM_CONFIG_CHANGE,Other,Preference Config Changes,
183,ADD_LABEL,Label,Add Label,
184,DELETE_LABEL,Label,Delete Label,
185,MODIFY_LABEL,Label,Modify Label,
186,REMOTE_CONTROL,Device,Remote Control,
188,ADD_STANDALONE_SENTRY,Sentry,Add Standalone Sentry,
189,DISABLE_STANDALONE_SENTRY,Sentry,Disable Standalone Sentry,
190,EDIT_STANDALONE_SENTRY,Sentry,Edit Standalone Sentry,
191,ENABLE_STANDALONE_SENTRY,Sentry,Enable Standalone Sentry,
192,ADD_INTEGRATED_SENTRY,Sentry,Add Integrated Sentry,
193,DISABLE_INTEGRATED_SENTRY,Sentry,Disable Integrated Sentry,
194,EDIT_INTEGRATED_SENTRY,Sentry,Edit Integrated Sentry,
195,ENABLE_INTEGRATED_SENTRY,Sentry,Enable Integrated Sentry,
196,MODIFY_SENTRY_PREFERENCES,Sentry,Modify Sentry Preferences,
197,REGENERATE_KEY,Sentry,Regenerate Attachment Encryption Control Key,
198,DELETE_STANDALONE_SENTRY,Sentry,Delete Standalone Sentry,
199,DELETE_INTEGRATED_SENTRY,Sentry,Delete Integrated Sentry,
200,MANAGE_CERTIFICATE,Sentry,Manage Certificate,
201,RESYNC_INTEGRATED_SENTRY_WITH_EXCHANGE,Sentry,Resync Integrated Sentry With Exchange,
202,AFW_CONNECT,AfW,Connect Core to Android for Work,
203,AFW_DISCONNECT,AfW,Disconnect Core from Android for Work,
204,AFW_ACCEPT_PERMISSIONS,AfW,Accept Permissions for Android for Work App,
205,AFW_SAVE_RESTRICTIONS,AfW,Save Restrictions for Android for Work App,
206,AFW_SYNC_USERS,AfW,Sync Google Users with Core,
207,APPLICATION_STARTED,Other,Application Started,
207,AFW_RESET_GOOGLE_CONNECTION,AfW,Renew Android Enterprise Connection,
208,AFW_CLIENT_REQUESTS_REAUTH_TOKEN,Device,Client requested Google re-authorization token,
208,APPLICATION_STOPPED,Other,Application Stopped,
209,AFW_REVOKE_TOKEN,Device,Revoking Google User Token,
209,PROFILECHANGE,MDM,Profile Change,
210,LOCK_DEVICE,MDM,Lock Device (Android),
211,UNLOCK_DEVICE,MDM,Unlock Device (Android),
212,UNLOCK_DEVICE_ONLY_MDM,MDM,Unlock Device Only (Android),
213,WIPE_DEVICE_ANDROID,MDM,Wipe Device (Android),
214,SAVEAS_LABEL,Label,Save As Label,
215,ADD_IBOOK,Content,Add iBook,
216,MODIFY_IBOOK,Content,Modify iBook,
217,REMOVE_IBOOK,Content,Remove iBook,
218,APPLY_LABEL_TO_IBOOK,Content,Apply Label To iBook,
219,REMOVE_LABEL_FROM_IBOOK,Content,Remove Label From iBook,
220,INSTALL_IBOOK,Content,Install iBook,
221,UNINSTALL_IBOOK,Content,Uninstall iBook,
222,APPLY_VPP_LABELS,VPP,Apply VPP Labels,
223,REMOVE_VPP_LABELS,VPP,Remove VPP Labels,
224,REVOKE_VPP_LICENSE,VPP,Revoke VPP License,
225,REVOKE_ALL_VPP_LICENSES,VPP,Revoke All VPP Licenses,
226,CHANGE_LICENSE_TYPE,VPP,Change VPP License Type,
227,DISABLE_OUTOFCOMPLIANCEDEVICE,Device,Disable due to out of compliance,
227,AVAILABLE_OS_UPDATES,Device,Check Available OS Update,
228,ENABLE_DEVICE,Device,Enable,
228,UPDATE_OS,Device,Update OS Software,
229,DISABLE_DEVICE,Device,Disable,
229,DOWNLOAD_OS_UPDATES,Device,Download Available OS Update,
230,INSTALL_OS_UPDATES,Device,Install Downloaded OS Update,
231,ENABLE_LOST_MODE,Device,Enable MDM Lost Mode,
232,DISABLE_LOST_MODE,Device,Disable MDM Lost Mode,
234,DEVICE_LOCATION,Device,Device Location,
